,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
13624,2022-10-04,Hammersmith and Fulham,E09000013,-28,-10,-6,-34,-43,6
12650,2022-10-04,Hackney,E09000012,-28,-7,1,-32,-36,6
17520,2022-10-04,Hillingdon,E09000017,-7,0,139,0,-29,5
30182,2022-10-04,Wandsworth,E09000032,-28,-15,2,-18,-35,8
3884,2022-10-04,Barking and Dagenham,E09000002,-15,-1,32,-11,-34,3
20442,2022-10-04,Lambeth,E09000022,-26,-9,44,-27,-31,7
27260,2022-10-04,Sutton,E09000029,-16,4,15,-34,-37,7
1936,2022-10-04,City of London,E09000001,-42,-44,-33,-25,-31,
4858,2022-10-04,Barnet,E09000003,-17,-1,7,-20,-34,6
25312,2022-10-04,Richmond upon Thames,E09000027,-29,2,-2,-30,-47,8
33104,2022-10-04,Kingston upon Thames,E09000021,-24,-5,,-19,-33,7
11676,2022-10-04,Enfield,E09000010,-21,-8,6,-35,-32,5
22390,2022-10-04,Merton,E09000024,-26,-10,-19,-24,-34,6
8754,2022-10-04,Camden,E09000007,-28,-5,-2,-7,-38,7
15572,2022-10-04,Harrow,E09000015,-7,15,44,-4,-19,6
32130,2022-10-04,Kensington and Chelsea,E09000020,-26,1,-23,-31,-38,6
18494,2022-10-04,Hounslow,E09000018,-8,5,23,-7,-26,4
23364,2022-10-04,Newham,E09000025,-10,4,156,-14,-24,4
29208,2022-10-04,Waltham Forest,E09000031,-20,-3,-17,-25,-37,6
10702,2022-10-04,Ealing,E09000009,-14,6,5,-18,-30,5
6806,2022-10-04,Brent,E09000005,-8,4,28,-14,-29,4
13623,2022-10-03,Hammersmith and Fulham,E09000013,-27,-9,13,-34,-47,9
27259,2022-10-03,Sutton,E09000029,-14,8,40,-39,-40,8
11675,2022-10-03,Enfield,E09000010,-17,-6,26,-34,-33,5
24337,2022-10-03,Redbridge,E09000026,-9,0,3,-27,-39,6
3883,2022-10-03,Barking and Dagenham,E09000002,-10,6,46,-15,-34,4
14597,2022-10-03,Haringey,E09000014,-18,-7,3,-25,-42,7
22389,2022-10-03,Merton,E09000024,-23,-5,-7,-26,-36,8
5831,2022-10-03,Bexley,E09000004,-21,3,30,-31,-34,6
28233,2022-10-03,Tower Hamlets,E09000030,-20,-3,12,-30,-43,8
32129,2022-10-03,Kensington and Chelsea,E09000020,-27,3,-15,-29,-40,8
9727,2022-10-03,Croydon,E09000008,-13,9,20,-23,-28,6
4857,2022-10-03,Barnet,E09000003,-16,4,18,-21,-34,7
17519,2022-10-03,Hillingdon,E09000017,-5,0,181,-4,-30,5
16545,2022-10-03,Havering,E09000016,-10,4,15,-20,-29,6
25311,2022-10-03,Richmond upon Thames,E09000027,-25,2,12,-31,-49,9
6805,2022-10-03,Brent,E09000005,-10,9,50,-18,-31,4
12649,2022-10-03,Hackney,E09000012,-28,-1,19,-38,-38,7
29207,2022-10-03,Waltham Forest,E09000031,-13,1,-4,-28,-38,6
19467,2022-10-03,Islington,E09000019,-39,-13,-1,-64,-49,10
1935,2022-10-03,City of London,E09000001,-50,-54,-45,-35,-35,
30181,2022-10-03,Wandsworth,E09000032,-24,-15,13,-26,-42,10
18493,2022-10-03,Hounslow,E09000018,-4,11,14,-10,-28,4
21415,2022-10-03,Lewisham,E09000023,-3,3,14,-26,-39,8
23363,2022-10-03,Newham,E09000025,-10,6,188,-12,-28,5
15571,2022-10-03,Harrow,E09000015,-3,20,61,-7,-24,7
2909,2022-10-03,Westminster,E09000033,-31,0,-4,-18,-40,7
7779,2022-10-03,Bromley,E09000006,-15,11,8,-27,-39,9
10701,2022-10-03,Ealing,E09000009,-7,0,27,-18,-33,5
31155,2022-10-03,Greenwich,E09000011,-10,12,42,-7,-40,7
8753,2022-10-03,Camden,E09000007,-28,-10,28,-10,-43,8
20441,2022-10-03,Lambeth,E09000022,-23,-7,71,-34,-38,8
33103,2022-10-03,Kingston upon Thames,E09000021,-17,1,,-21,-36,8
26285,2022-10-03,Southwark,E09000028,-24,-6,5,-29,-35,8
15570,2022-10-02,Harrow,E09000015,-11,11,116,22,10,-1
11674,2022-10-02,Enfield,E09000010,-21,-8,20,-21,-12,0
10700,2022-10-02,Ealing,E09000009,-3,1,28,-3,-9,0
18492,2022-10-02,Hounslow,E09000018,-1,13,6,8,-5,-1
33102,2022-10-02,Kingston upon Thames,E09000021,-18,-7,98,-2,-2,0
4856,2022-10-02,Barnet,E09000003,-15,0,19,-10,-6,0
22388,2022-10-02,Merton,E09000024,-21,-12,-8,-13,-12,0
25310,2022-10-02,Richmond upon Thames,E09000027,-17,-1,-8,-13,-20,-1
12648,2022-10-02,Hackney,E09000012,-25,-8,-1,-18,-11,0
8752,2022-10-02,Camden,E09000007,-21,-11,3,14,-13,0
32128,2022-10-02,Kensington and Chelsea,E09000020,-27,0,-19,-21,-24,1
7778,2022-10-02,Bromley,E09000006,-14,7,9,-13,3,0
24336,2022-10-02,Redbridge,E09000026,-11,-5,13,-11,-12,-1
29206,2022-10-02,Waltham Forest,E09000031,-12,-5,3,-19,-19,0
6804,2022-10-02,Brent,E09000005,-8,6,38,-8,-9,-1
1934,2022-10-02,City of London,E09000001,-6,-53,-4,13,,
3882,2022-10-02,Barking and Dagenham,E09000002,-12,-4,52,-3,-18,0
26284,2022-10-02,Southwark,E09000028,-18,-3,14,3,-4,0
20440,2022-10-02,Lambeth,E09000022,-20,-8,57,-8,-4,0
5830,2022-10-02,Bexley,E09000004,-18,3,28,-13,-11,0
31154,2022-10-02,Greenwich,E09000011,-8,3,34,14,-14,1
28232,2022-10-02,Tower Hamlets,E09000030,-1,-12,19,9,-9,0
13622,2022-10-02,Hammersmith and Fulham,E09000013,-23,-9,19,-19,-20,0
2908,2022-10-02,Westminster,E09000033,-20,1,-7,12,-18,0
23362,2022-10-02,Newham,E09000025,-11,-3,110,5,1,-1
17518,2022-10-02,Hillingdon,E09000017,-2,-6,184,9,-3,-1
9726,2022-10-02,Croydon,E09000008,-15,3,5,-22,-5,0
30180,2022-10-02,Wandsworth,E09000032,-22,-16,-12,-18,3,0
19466,2022-10-02,Islington,E09000019,-33,-12,10,-56,-14,0
21414,2022-10-02,Lewisham,E09000023,-5,-2,28,-1,-15,0
14596,2022-10-02,Haringey,E09000014,22,-8,-13,22,-26,0
16544,2022-10-02,Havering,E09000016,-10,5,30,-3,-1,0
27258,2022-10-02,Sutton,E09000029,-21,3,12,-28,-13,1
13621,2022-10-01,Hammersmith and Fulham,E09000013,-26,-2,24,-16,-22,0
24335,2022-10-01,Redbridge,E09000026,-12,-2,-17,-5,-14,-1
16543,2022-10-01,Havering,E09000016,-13,3,6,-7,-3,0
26283,2022-10-01,Southwark,E09000028,-23,-6,0,-33,-6,-1
32127,2022-10-01,Kensington and Chelsea,E09000020,-29,7,-15,-20,-23,1
12647,2022-10-01,Hackney,E09000012,-23,-5,0,-31,-21,-1
25309,2022-10-01,Richmond upon Thames,E09000027,-22,4,-10,-32,-12,0
27257,2022-10-01,Sutton,E09000029,-14,5,26,-37,-14,0
9725,2022-10-01,Croydon,E09000008,-8,10,20,-30,-11,0
3881,2022-10-01,Barking and Dagenham,E09000002,-13,5,47,-7,-20,-1
20439,2022-10-01,Lambeth,E09000022,-21,-7,43,-24,-6,0
23361,2022-10-01,Newham,E09000025,-7,1,258,-7,-2,-2
1933,2022-10-01,City of London,E09000001,-29,-54,-26,-28,,
10699,2022-10-01,Ealing,E09000009,-8,0,30,-4,-14,0
30179,2022-10-01,Wandsworth,E09000032,-22,-14,-2,-25,-8,0
8751,2022-10-01,Camden,E09000007,-26,-8,-12,-20,-10,1
5829,2022-10-01,Bexley,E09000004,-15,8,34,-40,-14,0
19465,2022-10-01,Islington,E09000019,-9,1,1,-45,-14,0
17517,2022-10-01,Hillingdon,E09000017,-4,-2,175,15,-9,-1
15569,2022-10-01,Harrow,E09000015,-8,20,68,16,2,-1
21413,2022-10-01,Lewisham,E09000023,0,5,-2,-27,-20,0
11673,2022-10-01,Enfield,E09000010,-18,-5,21,-32,-16,0
4855,2022-10-01,Barnet,E09000003,-11,8,6,-4,-12,0
2907,2022-10-01,Westminster,E09000033,-28,1,-25,-17,-17,0
18491,2022-10-01,Hounslow,E09000018,-1,18,5,4,-5,-1
28231,2022-10-01,Tower Hamlets,E09000030,-12,1,-5,-12,-11,-1
22387,2022-10-01,Merton,E09000024,-18,-4,-5,-5,-14,0
14595,2022-10-01,Haringey,E09000014,-19,-9,-14,-22,-28,0
7777,2022-10-01,Bromley,E09000006,-11,15,13,-42,-5,1
31153,2022-10-01,Greenwich,E09000011,3,9,-12,15,-12,0
6803,2022-10-01,Brent,E09000005,0,4,42,-9,-14,-1
33101,2022-10-01,Kingston upon Thames,E09000021,-16,2,72,-19,2,0
29205,2022-10-01,Waltham Forest,E09000031,-11,0,-27,-18,-21,0
27256,2022-09-30,Sutton,E09000029,-17,1,1,-37,-40,7
21412,2022-09-30,Lewisham,E09000023,-5,3,-13,-23,-40,8
6802,2022-09-30,Brent,E09000005,-15,0,0,-18,-32,5
28230,2022-09-30,Tower Hamlets,E09000030,-27,-7,-23,-32,-44,9
2906,2022-09-30,Westminster,E09000033,-38,-11,-30,-19,-43,9
19464,2022-09-30,Islington,E09000019,-43,-19,-28,-64,-50,11
9724,2022-09-30,Croydon,E09000008,-20,4,-15,-25,-31,6
23360,2022-09-30,Newham,E09000025,-14,-2,136,-17,-27,4
30178,2022-09-30,Wandsworth,E09000032,-28,-15,-9,-19,-41,10
5828,2022-09-30,Bexley,E09000004,-20,4,14,-32,-35,6
20438,2022-09-30,Lambeth,E09000022,-29,-11,20,-32,-38,9
3880,2022-09-30,Barking and Dagenham,E09000002,-17,6,12,-11,-31,3
31152,2022-09-30,Greenwich,E09000011,-2,4,8,-3,-40,7
1932,2022-09-30,City of London,E09000001,-56,-60,-44,-32,-37,
4854,2022-09-30,Barnet,E09000003,-19,-4,-13,-24,-33,7
10698,2022-09-30,Ealing,E09000009,-11,-8,-14,-25,-33,6
11672,2022-09-30,Enfield,E09000010,-21,-10,-11,-35,-33,5
13620,2022-09-30,Hammersmith and Fulham,E09000013,-32,-13,-15,-36,-47,9
14594,2022-09-30,Haringey,E09000014,-16,-11,-21,-21,-42,6
17516,2022-09-30,Hillingdon,E09000017,-9,-4,129,2,-32,5
33100,2022-09-30,Kingston upon Thames,E09000021,-21,-6,62,-22,-36,8
8750,2022-09-30,Camden,E09000007,-32,-9,-15,-6,-42,9
16542,2022-09-30,Havering,E09000016,-13,3,-12,-20,-32,6
18490,2022-09-30,Hounslow,E09000018,-10,-1,-3,-8,-28,5
24334,2022-09-30,Redbridge,E09000026,-17,-8,-33,-27,-40,6
25308,2022-09-30,Richmond upon Thames,E09000027,-29,-4,-3,-29,-49,8
29204,2022-09-30,Waltham Forest,E09000031,-17,-7,-34,-30,-39,7
32126,2022-09-30,Kensington and Chelsea,E09000020,-29,-8,-34,-26,-44,9
22386,2022-09-30,Merton,E09000024,-27,-8,-34,-25,-36,8
15568,2022-09-30,Harrow,E09000015,-15,10,14,-12,-28,7
7776,2022-09-30,Bromley,E09000006,-16,9,-8,-24,-41,9
12646,2022-09-30,Hackney,E09000012,-28,-5,-15,-29,-39,7
26282,2022-09-30,Southwark,E09000028,-28,-8,-14,-24,-35,8
2905,2022-09-29,Westminster,E09000033,-28,-3,-12,-18,-38,6
7775,2022-09-29,Bromley,E09000006,-11,11,7,-27,-37,7
21411,2022-09-29,Lewisham,E09000023,-3,9,13,-22,-36,6
31151,2022-09-29,Greenwich,E09000011,-13,8,27,-10,-40,6
1931,2022-09-29,City of London,E09000001,-37,-44,-37,-25,-28,
33099,2022-09-29,Kingston upon Thames,E09000021,-19,-4,,-15,-33,7
8749,2022-09-29,Camden,E09000007,-28,-3,2,-8,-39,7
20437,2022-09-29,Lambeth,E09000022,-18,-8,55,-28,-33,6
18489,2022-09-29,Hounslow,E09000018,-8,8,10,-14,-26,4
15567,2022-09-29,Harrow,E09000015,-6,13,57,-10,-23,5
23359,2022-09-29,Newham,E09000025,-12,3,155,-20,-25,3
29203,2022-09-29,Waltham Forest,E09000031,-12,1,-6,-27,-37,5
10697,2022-09-29,Ealing,E09000009,-7,-1,16,-22,-31,4
25307,2022-09-29,Richmond upon Thames,E09000027,-22,2,13,-28,-47,7
28229,2022-09-29,Tower Hamlets,E09000030,-17,0,0,-30,-39,6
4853,2022-09-29,Barnet,E09000003,-16,2,10,-23,-32,6
12645,2022-09-29,Hackney,E09000012,-19,-1,11,-30,-34,5
11671,2022-09-29,Enfield,E09000010,-19,-5,16,-33,-33,4
19463,2022-09-29,Islington,E09000019,-33,-10,-1,-64,-43,7
26281,2022-09-29,Southwark,E09000028,-22,-5,5,-24,-28,6
24333,2022-09-29,Redbridge,E09000026,-14,-5,-4,-29,-39,5
6801,2022-09-29,Brent,E09000005,-6,5,37,-17,-30,3
32125,2022-09-29,Kensington and Chelsea,E09000020,-24,2,-18,-27,-40,6
27255,2022-09-29,Sutton,E09000029,-14,7,21,-37,-38,7
9723,2022-09-29,Croydon,E09000008,-13,10,12,-25,-28,5
16541,2022-09-29,Havering,E09000016,-11,7,6,-16,-28,5
17515,2022-09-29,Hillingdon,E09000017,-5,3,164,1,-31,4
13619,2022-09-29,Hammersmith and Fulham,E09000013,-28,-7,1,-35,-43,6
14593,2022-09-29,Haringey,E09000014,-20,-6,-7,-23,-39,4
30177,2022-09-29,Wandsworth,E09000032,-25,-14,-1,-17,-38,7
3879,2022-09-29,Barking and Dagenham,E09000002,-13,8,42,-12,-32,2
5827,2022-09-29,Bexley,E09000004,-18,4,37,-27,-31,5
22385,2022-09-29,Merton,E09000024,-23,-9,-23,-27,-36,6
24332,2022-09-28,Redbridge,E09000026,-16,-3,-10,-23,-40,5
11670,2022-09-28,Enfield,E09000010,-22,-6,10,-34,-33,5
4852,2022-09-28,Barnet,E09000003,-15,-2,-2,-21,-33,6
8748,2022-09-28,Camden,E09000007,-27,-8,2,-9,-39,7
19462,2022-09-28,Islington,E09000019,-35,-14,-5,-65,-45,8
22384,2022-09-28,Merton,E09000024,-23,-9,-20,-25,-34,6
15566,2022-09-28,Harrow,E09000015,-7,16,38,-7,-22,6
12644,2022-09-28,Hackney,E09000012,-21,-3,5,-33,-35,6
21410,2022-09-28,Lewisham,E09000023,-3,9,1,-24,-35,7
26280,2022-09-28,Southwark,E09000028,-23,-6,3,-25,-33,6
9722,2022-09-28,Croydon,E09000008,-14,7,-1,-26,-28,6
29202,2022-09-28,Waltham Forest,E09000031,-11,-1,-16,-28,-36,5
30176,2022-09-28,Wandsworth,E09000032,-25,-13,0,-21,-37,7
23358,2022-09-28,Newham,E09000025,-9,3,153,-18,-24,4
14592,2022-09-28,Haringey,E09000014,-23,-7,-15,-30,-41,5
18488,2022-09-28,Hounslow,E09000018,-9,4,11,-9,-25,4
20436,2022-09-28,Lambeth,E09000022,-22,-6,46,-32,-34,7
1930,2022-09-28,City of London,E09000001,-40,-45,-23,-27,-30,
2904,2022-09-28,Westminster,E09000033,-30,-4,-19,-21,-39,6
5826,2022-09-28,Bexley,E09000004,-17,5,32,-26,-35,6
27254,2022-09-28,Sutton,E09000029,-12,5,16,-35,-38,7
28228,2022-09-28,Tower Hamlets,E09000030,-15,-3,-6,-30,-38,6
25306,2022-09-28,Richmond upon Thames,E09000027,-15,0,7,-29,-48,8
3878,2022-09-28,Barking and Dagenham,E09000002,-13,11,31,-19,-33,2
32124,2022-09-28,Kensington and Chelsea,E09000020,-28,-2,-22,-33,-39,6
6800,2022-09-28,Brent,E09000005,-2,6,21,-19,-31,4
7774,2022-09-28,Bromley,E09000006,-12,10,2,-25,-37,7
16540,2022-09-28,Havering,E09000016,-10,2,6,-18,-28,5
31150,2022-09-28,Greenwich,E09000011,-15,11,18,-7,-38,6
17514,2022-09-28,Hillingdon,E09000017,-7,-1,163,-3,-31,5
13618,2022-09-28,Hammersmith and Fulham,E09000013,-22,-8,-1,-36,-45,7
10696,2022-09-28,Ealing,E09000009,-5,-2,5,-23,-34,5
33098,2022-09-28,Kingston upon Thames,E09000021,-20,-1,,-19,-34,6
26279,2022-09-27,Southwark,E09000028,-28,-12,-14,-26,-33,7
31149,2022-09-27,Greenwich,E09000011,-15,3,8,-10,-40,7
9721,2022-09-27,Croydon,E09000008,-16,12,-14,-27,-30,6
5825,2022-09-27,Bexley,E09000004,-20,4,16,-32,-33,6
17513,2022-09-27,Hillingdon,E09000017,-8,-2,119,0,-30,5
27253,2022-09-27,Sutton,E09000029,-19,-7,-3,-36,-39,7
11669,2022-09-27,Enfield,E09000010,-22,-9,3,-35,-34,5
12643,2022-09-27,Hackney,E09000012,-30,-11,-10,-35,-39,6
10695,2022-09-27,Ealing,E09000009,-10,-3,-10,-23,-32,6
25305,2022-09-27,Richmond upon Thames,E09000027,-30,0,-11,-34,-49,9
24331,2022-09-27,Redbridge,E09000026,-16,0,-21,-28,-41,5
28227,2022-09-27,Tower Hamlets,E09000030,-19,-5,-15,-34,-40,8
6799,2022-09-27,Brent,E09000005,-14,3,8,-21,-31,4
4851,2022-09-27,Barnet,E09000003,-21,-9,-7,-25,-40,6
22383,2022-09-27,Merton,E09000024,-27,-10,-30,-24,-35,7
32123,2022-09-27,Kensington and Chelsea,E09000020,-27,-1,-27,-34,-41,7
29201,2022-09-27,Waltham Forest,E09000031,-20,-3,-21,-30,-39,6
14591,2022-09-27,Haringey,E09000014,-22,-9,-11,-27,-44,6
16539,2022-09-27,Havering,E09000016,-14,6,-8,-19,-29,6
13617,2022-09-27,Hammersmith and Fulham,E09000013,-25,-10,-19,-37,-45,7
18487,2022-09-27,Hounslow,E09000018,-12,2,4,-12,-28,5
19461,2022-09-27,Islington,E09000019,-39,-16,-23,-65,-46,8
15565,2022-09-27,Harrow,E09000015,-9,12,31,-9,-21,7
1929,2022-09-27,City of London,E09000001,-45,-50,-33,-30,-29,
23357,2022-09-27,Newham,E09000025,-9,2,134,-19,-26,4
20435,2022-09-27,Lambeth,E09000022,-26,-11,21,-31,-33,7
3877,2022-09-27,Barking and Dagenham,E09000002,-17,1,17,-15,-35,4
7773,2022-09-27,Bromley,E09000006,-15,9,-15,-26,-37,8
30175,2022-09-27,Wandsworth,E09000032,-29,-16,-6,-19,-38,9
21409,2022-09-27,Lewisham,E09000023,-8,3,-8,-23,-36,7
33097,2022-09-27,Kingston upon Thames,E09000021,-25,-6,,-22,-35,7
8747,2022-09-27,Camden,E09000007,-30,-11,-16,-12,-41,8
2903,2022-09-27,Westminster,E09000033,-33,-11,-24,-22,-39,7
7772,2022-09-26,Bromley,E09000006,-17,7,-6,-29,-41,9
17512,2022-09-26,Hillingdon,E09000017,-7,-1,129,-6,-32,6
26278,2022-09-26,Southwark,E09000028,-28,-9,-9,-31,-36,8
16538,2022-09-26,Havering,E09000016,-13,0,-6,-21,-30,6
20434,2022-09-26,Lambeth,E09000022,-27,-11,33,-36,-39,9
8746,2022-09-26,Camden,E09000007,-31,-15,4,-14,-45,9
33096,2022-09-26,Kingston upon Thames,E09000021,-21,-2,,-24,-37,9
18486,2022-09-26,Hounslow,E09000018,-7,6,4,-13,-29,5
24330,2022-09-26,Redbridge,E09000026,-18,-5,-23,-29,-42,7
11668,2022-09-26,Enfield,E09000010,-20,-9,8,-37,-36,6
1928,2022-09-26,City of London,E09000001,-52,-57,-40,-38,-33,
4850,2022-09-26,Barnet,E09000003,-24,-6,-13,-29,-43,9
13616,2022-09-26,Hammersmith and Fulham,E09000013,-31,-13,-13,-36,-47,9
22382,2022-09-26,Merton,E09000024,-25,-8,-23,-27,-38,8
10694,2022-09-26,Ealing,E09000009,-15,3,1,-20,-34,6
23356,2022-09-26,Newham,E09000025,-13,3,142,-16,-29,5
29200,2022-09-26,Waltham Forest,E09000031,-17,-3,-25,-30,-41,7
12642,2022-09-26,Hackney,E09000012,-31,-12,-2,-40,-43,9
3876,2022-09-26,Barking and Dagenham,E09000002,-15,0,27,-16,-36,4
19460,2022-09-26,Islington,E09000019,-42,-17,-20,-65,-50,11
5824,2022-09-26,Bexley,E09000004,-23,0,16,-32,-36,7
27252,2022-09-26,Sutton,E09000029,-16,-4,15,-40,-42,8
30174,2022-09-26,Wandsworth,E09000032,-30,-16,-1,-27,-43,10
21408,2022-09-26,Lewisham,E09000023,-3,0,-7,-26,-41,9
32122,2022-09-26,Kensington and Chelsea,E09000020,-28,-1,-26,-33,-42,8
2902,2022-09-26,Westminster,E09000033,-34,-8,-18,-23,-44,8
9720,2022-09-26,Croydon,E09000008,-18,9,-5,-25,-30,7
25304,2022-09-26,Richmond upon Thames,E09000027,-29,0,-5,-34,-51,9
31148,2022-09-26,Greenwich,E09000011,-13,4,-2,-9,-42,8
15564,2022-09-26,Harrow,E09000015,-7,17,40,-8,-26,7
28226,2022-09-26,Tower Hamlets,E09000030,-23,-9,-8,-32,-44,9
14590,2022-09-26,Haringey,E09000014,-23,-12,-19,-29,-45,7
6798,2022-09-26,Brent,E09000005,35,4,29,-2,-33,5
10693,2022-09-25,Ealing,E09000009,-12,8,30,-9,-10,0
8745,2022-09-25,Camden,E09000007,-24,-6,2,14,-15,-1
5823,2022-09-25,Bexley,E09000004,-21,-2,35,-5,-6,-1
19459,2022-09-25,Islington,E09000019,-35,-13,7,-57,-17,-1
18485,2022-09-25,Hounslow,E09000018,-2,10,28,5,-4,-1
33095,2022-09-25,Kingston upon Thames,E09000021,-13,-8,115,1,0,-1
22381,2022-09-25,Merton,E09000024,-21,-11,-9,-10,-12,-1
2901,2022-09-25,Westminster,E09000033,-22,-3,-21,-9,-15,0
21407,2022-09-25,Lewisham,E09000023,-4,-3,11,-11,-14,0
7771,2022-09-25,Bromley,E09000006,-16,8,15,-9,1,0
25303,2022-09-25,Richmond upon Thames,E09000027,-24,-3,8,-23,-19,-1
28225,2022-09-25,Tower Hamlets,E09000030,-13,-16,1,-17,-7,-1
15563,2022-09-25,Harrow,E09000015,-12,9,70,8,11,-1
26277,2022-09-25,Southwark,E09000028,-17,-2,7,2,-4,0
6797,2022-09-25,Brent,E09000005,-13,3,36,-16,-10,-1
29199,2022-09-25,Waltham Forest,E09000031,-12,-4,1,-21,-18,0
32121,2022-09-25,Kensington and Chelsea,E09000020,-28,0,-17,-16,-21,1
17511,2022-09-25,Hillingdon,E09000017,1,-7,174,8,-4,-1
4849,2022-09-25,Barnet,E09000003,-18,3,12,-14,-4,-1
14589,2022-09-25,Haringey,E09000014,-24,-13,-13,-15,-25,-1
20433,2022-09-25,Lambeth,E09000022,-26,-9,59,-8,-6,-1
23355,2022-09-25,Newham,E09000025,-11,-4,140,4,1,-2
16537,2022-09-25,Havering,E09000016,-9,3,27,-4,0,0
24329,2022-09-25,Redbridge,E09000026,-20,-6,16,-13,-16,-1
12641,2022-09-25,Hackney,E09000012,-28,-9,5,-23,-14,-1
27251,2022-09-25,Sutton,E09000029,-21,-8,31,-28,-10,0
9719,2022-09-25,Croydon,E09000008,-19,7,9,-21,-7,0
13615,2022-09-25,Hammersmith and Fulham,E09000013,-33,-14,8,-33,-21,-1
1927,2022-09-25,City of London,E09000001,-13,-55,-1,0,,
31147,2022-09-25,Greenwich,E09000011,-3,4,1,-3,-11,0
3875,2022-09-25,Barking and Dagenham,E09000002,-15,-3,54,-3,-19,-1
11667,2022-09-25,Enfield,E09000010,-26,-10,16,-28,-14,0
30173,2022-09-25,Wandsworth,E09000032,-27,-17,-6,-31,2,-1
14588,2022-09-24,Haringey,E09000014,-24,-13,-13,-17,-26,-1
6796,2022-09-24,Brent,E09000005,-15,-1,38,-13,-12,-1
20432,2022-09-24,Lambeth,E09000022,-24,-10,56,-6,-4,-1
11666,2022-09-24,Enfield,E09000010,-23,-9,11,-30,-16,0
19458,2022-09-24,Islington,E09000019,-13,-5,5,-41,-14,-1
2900,2022-09-24,Westminster,E09000033,-25,2,-23,-4,-18,0
27250,2022-09-24,Sutton,E09000029,-21,-10,17,-30,-13,0
17510,2022-09-24,Hillingdon,E09000017,-7,-7,159,10,-9,-1
23354,2022-09-24,Newham,E09000025,-21,-2,129,-9,-1,-2
3874,2022-09-24,Barking and Dagenham,E09000002,-15,3,38,-3,-18,-1
9718,2022-09-24,Croydon,E09000008,-20,9,17,-19,-11,0
4848,2022-09-24,Barnet,E09000003,-15,6,15,-12,-11,0
5822,2022-09-24,Bexley,E09000004,-21,2,36,-23,-10,0
12640,2022-09-24,Hackney,E09000012,-25,-6,2,-19,-17,-1
15562,2022-09-24,Harrow,E09000015,-12,16,75,4,6,-1
29198,2022-09-24,Waltham Forest,E09000031,-18,-2,-28,-22,-19,0
30172,2022-09-24,Wandsworth,E09000032,-32,-16,-4,-26,-7,0
31146,2022-09-24,Greenwich,E09000011,-3,6,-13,13,-11,0
13614,2022-09-24,Hammersmith and Fulham,E09000013,-35,-5,12,-34,-21,-1
22380,2022-09-24,Merton,E09000024,-24,-8,-14,-8,-11,0
18484,2022-09-24,Hounslow,E09000018,-8,12,1,-2,-3,-1
33094,2022-09-24,Kingston upon Thames,E09000021,-20,0,150,-9,3,0
25302,2022-09-24,Richmond upon Thames,E09000027,-24,0,-6,-18,-11,0
21406,2022-09-24,Lewisham,E09000023,-6,0,-7,-14,-18,0
1926,2022-09-24,City of London,E09000001,-20,-54,-18,7,,
10692,2022-09-24,Ealing,E09000009,-15,6,29,-11,-15,0
8744,2022-09-24,Camden,E09000007,-23,-3,-9,10,-10,0
28224,2022-09-24,Tower Hamlets,E09000030,-13,-5,2,-13,-9,-1
24328,2022-09-24,Redbridge,E09000026,-18,-5,-18,-18,-16,0
16536,2022-09-24,Havering,E09000016,-16,1,4,-6,-2,0
26276,2022-09-24,Southwark,E09000028,-21,-7,8,1,-4,-1
32120,2022-09-24,Kensington and Chelsea,E09000020,-29,8,-9,-22,-23,0
7770,2022-09-24,Bromley,E09000006,-18,10,0,-14,-1,0
11665,2022-09-23,Enfield,E09000010,-22,-5,3,-37,-34,5
2899,2022-09-23,Westminster,E09000033,-38,-8,-23,-22,-43,7
1925,2022-09-23,City of London,E09000001,-57,-59,-38,-36,-35,
30171,2022-09-23,Wandsworth,E09000032,-28,-10,0,-22,-42,9
15561,2022-09-23,Harrow,E09000015,-12,20,53,-13,-28,7
18483,2022-09-23,Hounslow,E09000018,-9,4,5,-11,-29,5
20431,2022-09-23,Lambeth,E09000022,-29,-6,44,-34,-39,8
31145,2022-09-23,Greenwich,E09000011,-5,7,-5,-7,-40,7
23353,2022-09-23,Newham,E09000025,-18,3,146,-19,-27,4
8743,2022-09-23,Camden,E09000007,-35,-5,-1,-10,-43,9
7769,2022-09-23,Bromley,E09000006,-17,13,-4,-27,-43,9
21405,2022-09-23,Lewisham,E09000023,-6,5,-2,-24,-41,8
17509,2022-09-23,Hillingdon,E09000017,-10,0,131,2,-31,5
12639,2022-09-23,Hackney,E09000012,-27,3,0,-32,-39,7
27249,2022-09-23,Sutton,E09000029,-19,-5,3,-36,-41,7
28223,2022-09-23,Tower Hamlets,E09000030,-26,-3,-14,-31,-45,9
10691,2022-09-23,Ealing,E09000009,-15,3,6,-25,-34,6
26275,2022-09-23,Southwark,E09000028,-27,-6,-8,-26,-36,7
22379,2022-09-23,Merton,E09000024,-28,-3,-26,-26,-37,7
16535,2022-09-23,Havering,E09000016,-17,3,-2,-20,-32,6
4847,2022-09-23,Barnet,E09000003,-15,4,5,-25,-34,7
6795,2022-09-23,Brent,E09000005,-10,6,27,-18,-32,5
13613,2022-09-23,Hammersmith and Fulham,E09000013,-35,-10,-5,-39,-48,9
24327,2022-09-23,Redbridge,E09000026,-17,-3,-19,-27,-41,6
